#dimensions=5; algorithms=0; querynodes=1; conf=0.8; iterations=5; clocks_per_sec=1000000
Method,Samples,A Cluster Size,B Cluster Size,Time,Variance,Accuracy,Conf
BLOCKING,5,10,10,4458,9215.8,1,0.8
SORTED_TRIANGLE,5,10,10,870,478,1,0.8
SORTED,5,10,10,866,510.7,1,0.8
BASELINE_TRIANGLE,5,10,10,31,0.2,1,0.8
BLOCKING,5,10,100,2565,53273.5,1,0.8
SORTED_TRIANGLE,5,10,100,5084,20553.7,1,0.8
SORTED,5,10,100,8808,335.3,1,0.8
BASELINE_TRIANGLE,5,10,100,1253,3678.8,1,0.8
BLOCKING,5,100,10,2811,13886.2,1,0.8
SORTED_TRIANGLE,5,100,10,5092,874.3,1,0.8
SORTED,5,100,10,4974,2909.2,1,0.8
BASELINE_TRIANGLE,5,100,10,753,891.8,1,0.8
BLOCKING,5,100,100,3618,13556.8,1,0.8
SORTED_TRIANGLE,5,100,100,8255,8654,1,0.8
SORTED,5,100,100,9826,4703.2,1,0.8
BASELINE_TRIANGLE,5,100,100,1586,569.2,1,0.8
BLOCKING,5,1000,10,65257,1.52305e+06,1,0.8
SORTED_TRIANGLE,5,1000,10,58792,10191.8,1,0.8
SORTED,5,1000,10,59344,47269.7,1,0.8
BASELINE_TRIANGLE,5,1000,10,66014,499064,1,0.8
BLOCKING,5,10,1000,52197,1.22724e+06,1,0.8
SORTED_TRIANGLE,5,10,1000,59601,8493.2,1,0.8
SORTED,5,10,1000,59272,10744.3,1,0.8
BASELINE_TRIANGLE,5,10,1000,73355,1.34406e+07,1,0.8
BLOCKING,5,1000,100,69503,6.66271e+06,1,0.8
SORTED_TRIANGLE,5,1000,100,61390,14128,1,0.8
SORTED,5,1000,100,61255,18165.5,1,0.8
BASELINE_TRIANGLE,5,1000,100,70905,6.6641e+06,1,0.8
BLOCKING,5,100,1000,53280,432476,1,0.8
SORTED_TRIANGLE,5,100,1000,60627,22428.3,1,0.8
SORTED,5,100,1000,59708,733.3,1,0.8
BASELINE_TRIANGLE,5,100,1000,72332,8.30178e+06,1,0.8
BLOCKING,5,1000,1000,157233,2.05102e+07,1,0.8
SORTED_TRIANGLE,5,1000,1000,114587,35772.3,1,0.8
SORTED,5,1000,1000,114399,72518.2,1,0.8
BASELINE_TRIANGLE,5,1000,1000,136905,1.23732e+07,1,0.8
BLOCKING,5,10000,10,5750449,1.13085e+10,1,0.8
SORTED_TRIANGLE,5,10000,10,714035,6.7179e+06,1,0.8
SORTED,5,10000,10,706079,162479,1,0.8
BASELINE_TRIANGLE,5,10000,10,6300879,1.24324e+08,1,0.8
BLOCKING,5,10,10000,3829065,9.84625e+09,1,0.8
SORTED_TRIANGLE,5,10,10000,711952,2.44293e+06,1,0.8
SORTED,5,10,10000,770220,9.12326e+07,1,0.8
BASELINE_TRIANGLE,5,10,10000,7225663,6.63439e+10,1,0.8
BLOCKING,5,10000,100,6083265,2.42515e+10,1,0.8
SORTED_TRIANGLE,5,10000,100,708483,385135,1,0.8
SORTED,5,10000,100,709967,1.38705e+06,1,0.8
BASELINE_TRIANGLE,5,10000,100,6805946,1.70145e+10,1,0.8
BLOCKING,5,100,10000,4054902,1.44907e+10,1,0.8
SORTED_TRIANGLE,5,100,10000,719674,4.31171e+06,1,0.8
SORTED,5,100,10000,705834,63119.7,1,0.8
BASELINE_TRIANGLE,5,100,10000,6299908,4.86997e+07,1,0.8
BLOCKING,5,10000,1000,6094025,1.79976e+10,1,0.8
SORTED_TRIANGLE,5,10000,1000,775228,3.30682e+07,1,0.8
SORTED,5,10000,1000,760161,130642,1,0.8
BASELINE_TRIANGLE,5,10000,1000,6351145,9.82284e+07,1,0.8
BLOCKING,5,1000,10000,4114448,9.03897e+09,1,0.8
SORTED_TRIANGLE,5,1000,10000,809892,3.3705e+06,1,0.8
SORTED,5,1000,10000,804890,308362,1,0.8
BASELINE_TRIANGLE,5,1000,10000,7415932,5.66696e+10,1,0.8
BLOCKING,5,10000,10000,9909178,3.85446e+10,1,0.8
SORTED_TRIANGLE,5,10000,10000,1462034,2.58731e+07,1,0.8
SORTED,5,10000,10000,1427874,587864,1,0.8
BASELINE_TRIANGLE,5,10000,10000,12998884,7.66343e+09,1,0.8
