row|col|sample|dist|memory(bytes)|avgdist|matrixbuildtime(msecs)|sampletime(msecs)
128|32768|1000|0.1|30708707328|5.537000|150.000000|210.000000
128|32768|1000|0.3|30708989952|16.396000|140.000000|210.000000
128|32768|1000|0.5|30709899264|25.688999|170.000000|210.000000
128|32768|1000|0.7|30709411840|34.523998|140.000000|220.000000
128|32768|1000|0.9|30708740096|40.703999|170.000000|220.000000
128|32768|1000|0.1|30709878784|5.577000|180.000000|210.000000
128|32768|10000|0.001|30709444608|0.000000|170.000000|2040.000000
128|32768|10000|0.01|30708842496|0.221100|180.000000|2070.000000
128|32768|10000|0.1|30709329920|5.703600|180.000000|2150.000000
128|32768|10000|0.3|30709751808|16.735901|160.000000|2150.000000
128|32768|10000|0.5|30709624832|26.183500|180.000000|2120.000000
128|32768|10000|0.7|30709751808|33.544998|150.000000|2130.000000
128|32768|10000|0.9|30709497856|40.010101|170.000000|2110.000000
128|32768|10000|0.1|30710075392|5.665300|180.000000|2140.000000
128|32768|100000|0.001|30709497856|0.000000|160.000000|20460.000000
128|32768|100000|0.01|30709346304|0.216770|160.000000|20720.000000
128|32768|100000|0.1|30709489664|5.714510|140.000000|21510.000000
128|32768|100000|0.3|30709452800|16.743540|180.000000|21350.000000
128|32768|100000|0.5|30709776384|26.215231|160.000000|21330.000000
128|32768|100000|0.7|30709723136|33.575390|180.000000|21220.000000
128|32768|100000|0.9|30709166080|39.559879|170.000000|21100.000000
128|32768|100000|0.1|30709211136|5.702040|170.000000|21450.000000
128|32768|1000000|0.001|30709383168|0.000000|190.000000|206830.000000
128|32768|1000000|0.01|30163890176|0.216088|140.000000|208160.000000
128|32768|1000000|0.1|30099726336|5.694916|160.000000|217330.000000
128|32768|1000000|0.3|30133510144|16.702566|170.000000|216570.000000
128|32768|1000000|0.5|30096490496|26.154081|160.000000|216620.000000
128|32768|1000000|0.7|30110896128|33.664448|160.000000|212680.000000
128|32768|1000000|0.9|30585061376|39.595360|160.000000|214200.000000
128|32768|1000000|0.1|30585057280|5.693424|150.000000|217180.000000
128|131072|1000|0.001|30584930304|0.000000|680.000000|1000.000000
128|131072|1000|0.01|30584741888|0.226000|580.000000|1010.000000
128|131072|1000|0.1|30584766464|5.802000|570.000000|1040.000000
128|131072|1000|0.3|30584901632|17.569000|580.000000|1040.000000
128|131072|1000|0.5|30585057280|26.351999|630.000000|1040.000000
128|131072|1000|0.7|30584913920|34.549000|560.000000|1050.000000
128|131072|1000|0.9|30584598528|40.102001|570.000000|1040.000000
128|131072|1000|0.1|30584463360|5.816000|580.000000|1040.000000
128|131072|10000|0.001|30584856576|0.000000|620.000000|9920.000000
128|131072|10000|0.01|30585327616|0.212900|630.000000|10080.000000
128|131072|10000|0.1|30585180160|5.630100|580.000000|10400.000000
128|131072|10000|0.3|30584717312|16.796801|570.000000|10460.000000
128|131072|10000|0.5|30584807424|26.057699|660.000000|10400.000000
128|131072|10000|0.7|30584975360|34.210701|620.000000|10360.000000
128|131072|10000|0.9|30584139776|39.465500|660.000000|10370.000000
128|131072|10000|0.1|30585008128|5.699000|560.000000|10430.000000
128|131072|100000|0.001|30584315904|0.000000|700.000000|99350.000000
128|131072|100000|0.01|30584147968|0.215620|560.000000|101230.000000
128|131072|100000|0.1|30584160256|5.693170|620.000000|104350.000000
128|131072|100000|0.3|30583820288|16.700680|580.000000|104260.000000
128|131072|100000|0.5|30583742464|26.110901|610.000000|103840.000000
128|131072|100000|0.7|30584459264|33.560242|700.000000|103550.000000
128|131072|100000|0.9|30584639488|39.578159|620.000000|103590.000000
128|131072|100000|0.1|30584184832|5.688900|650.000000|103960.000000
128|131072|1000000|0.001|30583992320|0.000000|620.000000|1002460.000000
128|131072|1000000|0.01|30584172544|0.217217|550.000000|1009120.000000
128|131072|1000000|0.1|30583934976|5.697571|720.000000|1050870.000000
128|131072|1000000|0.3|29578711040|16.708864|560.000000|1068570.000000
128|131072|1000000|0.5|29579161600|26.152788|710.000000|1063240.000000
128|131072|1000000|0.7|29579821056|33.651966|660.000000|1059050.000000
128|131072|1000000|0.9|29579272192|39.617470|710.000000|1060610.000000
128|131072|1000000|0.1|29579120640|5.687182|710.000000|1063850.000000
512|128|1000|0.001|29579735040|0.000000|0.000000|0.000000
512|128|1000|0.01|29579927552|1.971000|0.000000|0.000000
512|128|1000|0.1|29579522048|23.549999|0.000000|0.000000
512|128|1000|0.3|29579821056|67.281998|0.000000|0.000000
512|128|1000|0.5|29579657216|104.566002|0.000000|10.000000
512|128|1000|0.7|29579427840|135.072998|0.000000|0.000000
512|128|1000|0.9|29579694080|159.371002|0.000000|10.000000
512|128|1000|0.1|29579595776|23.549999|0.000000|0.000000
512|128|10000|0.001|29580193792|0.000000|0.000000|10.000000
512|128|10000|0.01|29580087296|2.031300|0.000000|20.000000
512|128|10000|0.1|29579636736|24.014500|0.000000|20.000000
512|128|10000|0.3|29579440128|68.095398|0.000000|30.000000
512|128|10000|0.5|29578989568|105.467499|0.000000|20.000000
512|128|10000|0.7|29579898880|135.646606|0.000000|20.000000
512|128|10000|0.9|29579063296|159.252502|0.000000|30.000000
512|128|10000|0.1|29579063296|24.014500|0.000000|20.000000
512|128|100000|0.001|29579239424|0.000000|0.000000|180.000000
512|128|100000|0.01|29579431936|2.059710|0.000000|200.000000
512|128|100000|0.1|29580029952|24.232710|0.000000|260.000000
512|128|100000|0.3|29580140544|68.295738|0.000000|250.000000
512|128|100000|0.5|29580083200|105.804443|0.000000|260.000000
512|128|100000|0.7|29580566528|136.249756|0.000000|260.000000
512|128|100000|0.9|29580759040|160.514893|0.000000|250.000000
512|128|100000|0.1|29580636160|24.214029|0.000000|250.000000
512|128|1000000|0.001|29580677120|0.000000|0.000000|1820.000000
512|128|1000000|0.01|29579870208|2.060598|0.000000|2000.000000
512|128|1000000|0.1|29580034048|24.225826|0.000000|2470.000000
512|128|1000000|0.3|29580156928|68.606987|0.000000|2550.000000
512|128|1000000|0.5|29580582912|106.162720|0.000000|2540.000000
512|128|1000000|0.7|29580296192|136.676559|0.000000|2540.000000
512|128|1000000|0.9|29580296192|160.788620|0.000000|2570.000000
512|128|1000000|0.1|29580124160|24.237789|0.000000|2460.000000
512|512|1000|0.001|29579997184|0.000000|0.000000|10.000000
512|512|1000|0.01|29580222464|2.114000|10.000000|0.000000
512|512|1000|0.1|29580623872|24.938000|0.000000|0.000000
512|512|1000|0.3|29579984896|70.624001|10.000000|0.000000
512|512|1000|0.5|29580120064|108.794998|10.000000|0.000000
512|512|1000|0.7|29580275712|139.546005|10.000000|10.000000
512|512|1000|0.9|29579599872|164.216003|10.000000|0.000000
512|512|1000|0.1|29580615680|24.938000|0.000000|10.000000
512|512|10000|0.001|29580562432|0.000000|20.000000|30.000000
512|512|10000|0.01|29579907072|2.059900|10.000000|40.000000
512|512|10000|0.1|29580038144|24.357401|0.000000|50.000000
512|512|10000|0.3|29580292096|68.631798|0.000000|50.000000
512|512|10000|0.5|29580722176|105.952003|10.000000|40.000000
512|512|10000|0.7|29580886016|136.070297|10.000000|40.000000
512|512|10000|0.9|29580034048|159.105194|10.000000|40.000000
512|512|10000|0.1|29580152832|24.357401|10.000000|40.000000
512|512|100000|0.001|29580165120|0.000000|0.000000|350.000000
512|512|100000|0.01|29579796480|2.065010|10.000000|390.000000
512|512|100000|0.1|29579161600|24.157141|10.000000|410.000000
512|512|100000|0.3|29579218944|68.325233|10.000000|410.000000
512|512|100000|0.5|29579976704|105.907570|10.000000|420.000000
512|512|100000|0.7|29579698176|136.280502|10.000000|420.000000
512|512|100000|0.9|29579800576|160.062958|10.000000|420.000000
512|512|100000|0.1|29578571776|24.188810|10.000000|420.000000
512|512|1000000|0.001|29579481088|0.000000|0.000000|3390.000000
512|512|1000000|0.01|29580038144|2.062506|10.000000|3920.000000
512|512|1000000|0.1|29579751424|24.219233|10.000000|4150.000000
512|512|1000000|0.3|29579370496|68.534676|10.000000|4250.000000
512|512|1000000|0.5|29579378688|106.152908|10.000000|4230.000000
512|512|1000000|0.7|29579751424|136.761398|10.000000|4190.000000
512|512|1000000|0.9|29579751424|160.412674|10.000000|4160.000000
512|512|1000000|0.1|29579894784|24.275980|10.000000|4120.000000
512|4096|1000|0.001|29580201984|0.000000|70.000000|20.000000
512|4096|1000|0.01|29580050432|2.075000|80.000000|20.000000
512|4096|1000|0.1|29579919360|24.315001|80.000000|20.000000
512|4096|1000|0.3|29580111872|68.500999|80.000000|20.000000
512|4096|1000|0.5|29579608064|109.887001|90.000000|30.000000
512|4096|1000|0.7|29579702272|140.960007|70.000000|20.000000
512|4096|1000|0.9|29579886592|165.604004|70.000000|20.000000
512|4096|1000|0.1|29579882496|24.934000|70.000000|20.000000
512|4096|10000|0.001|29580091392|0.000000|80.000000|200.000000
512|4096|10000|0.01|29580083200|2.071900|80.000000|200.000000
512|4096|10000|0.1|29579505664|24.094101|80.000000|200.000000
512|4096|10000|0.3|29580652544|68.011597|70.000000|210.000000
512|4096|10000|0.5|29580980224|105.432503|90.000000|210.000000
512|4096|10000|0.7|29580566528|137.135300|80.000000|210.000000
512|4096|10000|0.9|29580099584|161.018402|90.000000|200.000000
512|4096|10000|0.1|29580505088|24.352699|80.000000|210.000000
512|4096|100000|0.001|29580091392|0.000000|80.000000|2000.000000
512|4096|100000|0.01|29580349440|2.068990|90.000000|2050.000000
512|4096|100000|0.1|29579988992|24.318211|80.000000|2080.000000
512|4096|100000|0.3|29579735040|68.684441|80.000000|2050.000000
512|4096|100000|0.5|29580115968|106.303139|80.000000|2050.000000
512|4096|100000|0.7|29579620352|136.952927|80.000000|2050.000000
512|4096|100000|0.9|29579689984|160.475891|100.000000|2020.000000
512|4096|100000|0.1|29579501568|24.258499|80.000000|2080.000000
512|4096|1000000|0.001|29579743232|0.000000|80.000000|19900.000000
512|4096|1000000|0.01|29579063296|2.061727|80.000000|20480.000000
512|4096|1000000|0.1|29579935744|24.232740|90.000000|20610.000000
512|4096|1000000|0.3|29580021760|68.611885|70.000000|20500.000000
512|4096|1000000|0.5|29580210176|106.197037|80.000000|20440.000000
512|4096|1000000|0.7|29580406784|136.777771|90.000000|20390.000000
512|4096|1000000|0.9|29580394496|160.564926|80.000000|20280.000000
512|4096|1000000|0.1|29580791808|24.261805|70.000000|20590.000000
512|32768|1000|0.001|29580554240|0.000000|660.000000|220.000000
512|32768|1000|0.01|29580316672|2.100000|620.000000|230.000000
512|32768|1000|0.1|29581012992|24.968000|670.000000|220.000000
512|32768|1000|0.3|29580001280|68.401001|710.000000|230.000000
512|32768|1000|0.5|29579939840|106.932999|660.000000|230.000000
512|32768|1000|0.7|29579767808|136.845001|610.000000|220.000000
512|32768|1000|0.9|29579706368|161.156006|560.000000|230.000000
512|32768|1000|0.1|29579726848|24.650999|700.000000|220.000000
512|32768|10000|0.001|29579997184|0.000000|650.000000|2110.000000
512|32768|10000|0.01|29579751424|2.045300|560.000000|2220.000000
512|32768|10000|0.1|29579915264|24.067200|560.000000|2240.000000
512|32768|10000|0.3|29580169216|68.715302|590.000000|2250.000000
512|32768|10000|0.5|29580312576|107.210503|610.000000|2230.000000
512|32768|10000|0.7|29580320768|137.165298|630.000000|2200.000000
512|32768|10000|0.9|29580148736|160.276794|570.000000|2190.000000
512|32768|10000|0.1|29580320768|24.464899|620.000000|2250.000000
512|32768|100000|0.001|29580447744|0.000000|560.000000|21050.000000
512|32768|100000|0.01|29579882496|2.056700|710.000000|22080.000000
512|32768|100000|0.1|29579567104|24.298700|720.000000|22400.000000
512|32768|100000|0.3|29580099584|68.679176|610.000000|22220.000000
512|32768|100000|0.5|29580054528|106.293961|560.000000|22160.000000
512|32768|100000|0.7|29580398592|136.498047|710.000000|22010.000000
512|32768|100000|0.9|29580599296|160.147095|710.000000|21850.000000
512|32768|100000|0.1|29579997184|24.265120|570.000000|22510.000000
512|32768|1000000|0.001|29580464128|0.000000|590.000000|209710.000000
512|32768|1000000|0.01|29579694080|2.060712|570.000000|221370.000000
512|32768|1000000|0.1|29579542528|24.254408|700.000000|223820.000000
512|32768|1000000|0.3|29579907072|68.529572|680.000000|223080.000000
512|32768|1000000|0.5|29579771904|106.288254|740.000000|223340.000000
512|32768|1000000|0.7|29579350016|136.636154|740.000000|219970.000000
512|32768|1000000|0.9|29579534336|160.515594|570.000000|219680.000000
512|32768|1000000|0.1|29580017664|24.234064|660.000000|224040.000000
512|131072|1000|0.001|29580054528|0.000000|2710.000000|990.000000
512|131072|1000|0.01|29578432512|2.131000|2470.000000|1030.000000
512|131072|1000|0.1|29579313152|23.774000|2710.000000|1050.000000
512|131072|1000|0.3|29579415552|70.217003|2430.000000|1040.000000
512|131072|1000|0.5|29579317248|108.389999|2540.000000|1040.000000
512|131072|1000|0.7|29579202560|138.593994|2250.000000|1020.000000
512|131072|1000|0.9|29578752000|155.009003|2280.000000|1030.000000
